run,state,level,base,fixing,contiguity,symmetry,extended,order,heuristic,lp,k,L,U,n,m,heur_obj,heur_time,heur_iter,B_q,B_size,B_time,B_timelimit,DFixings,LFixings,UFixings_X,UFixings_R,ZFixings,LP_obj,LP_time,MIP_obj,MIP_bound,MIP_time,MIP_timelimit,MIP_status,MIP_nodes,callbacks,lazy_cuts,connected
run29,AR,county,labeling,True,none,default,True,B_decreasing,True,True,4,725335,732624,75,192,33,420.52,10000,4,64,24.13,60,6,0,0,0,17,9.04,0.02,32,32.0,29.09,3600,2,39142,0,0,False
run30,OK,county,labeling,True,none,default,True,B_decreasing,True,True,5,746519,754021,77,195,40,379.33,10000,5,64,20.64,60,10,0,0,0,45,14.94,0.03,39,39.0,7.88,3600,2,3778,0,0,False
run31,MS,county,labeling,True,none,default,True,B_decreasing,True,True,4,738116,745533,82,202,34,546.18,10000,4,69,60.10,60,6,0,0,0,20,7.72,0.05,32,32.0,27.12,3600,2,36268,0,0,False
run32,NE,county,labeling,True,none,default,True,B_decreasing,True,True,3,605737,611824,93,231,19,278.07,10000,3,86,2.40,60,3,0,0,0,2,6.13,0.05,19,19.0,0.89,3600,2,584,0,0,True
run33,IA,county,labeling,True,none,default,True,B_decreasing,True,True,4,757781,765396,99,222,33,560.04,10000,4,85,60.06,60,6,0,0,0,12,10.03,0.05,33,33.0,23.56,3600,2,16294,0,0,True
run34,KS,county,labeling,True,none,default,True,B_decreasing,True,True,4,709714,716845,105,263,32,1281.95,10000,4,95,12.47,60,6,0,0,0,12,10.23,0.05,31,31.0,11.38,3600,2,6206,0,0,False
run35,NH,tract,labeling,True,none,default,True,B_decreasing,True,True,2,654944,661526,295,786,27,1380.69,10000,2,283,7.58,60,1,0,0,0,1,3.50,0.05,26,26.0,1.50,3600,2,1036,0,0,True
run36,ID,tract,labeling,True,none,default,True,B_decreasing,True,True,2,779873,787709,298,792,17,2836.42,10000,2,291,2.50,60,1,0,0,0,0,2.27,0.03,16,16.0,0.81,3600,2,302,0,0,False
run37,ME,tract,labeling,True,none,default,True,B_decreasing,True,True,2,660860,667501,358,999,20,2453.25,10000,2,349,3.34,60,1,0,0,0,0,4.00,0.05,20,20.0,0.78,3600,2,76,0,0,True
run38,WV,tract,labeling,True,none,default,True,B_decreasing,True,True,3,614577,620752,484,1266,47,2285.95,10000,3,467,60.08,60,3,0,0,0,13,7.05,0.23,42,42.0,92.79,3600,2,8468,0,0,False
run39,NM,tract,labeling,True,none,default,True,B_decreasing,True,True,3,682962,689824,499,1335,46,2343.16,10000,3,485,60.05,60,3,0,0,0,10,12.05,0.20,43,43.0,45.69,3600,2,4287,0,0,True
run40,NE,tract,labeling,True,none,default,True,B_decreasing,True,True,3,605737,611824,532,1369,48,1788.45,10000,3,513,60.16,60,3,0,0,0,10,5.34,0.23,44,44.0,58.68,3600,2,3877,0,0,True
run41,UT,tract,labeling,True,none,default,True,B_decreasing,True,True,4,687517,694426,588,1605,90,2697.69,10000,4,556,60.02,60,6,0,0,0,33,15.37,0.96,75,65.0,3600.08,3600,9,76338,0,0,False
run42,MS,tract,labeling,True,none,default,True,B_decreasing,True,True,4,738116,745533,664,1784,68,2128.48,10000,4,634,60.12,60,6,0,0,0,17,13.01,0.83,63,49.0,3600.08,3600,9,47501,0,0,True
run43,AR,tract,labeling,True,none,default,True,B_decreasing,True,True,4,725335,732624,686,1858,78,2194.78,10000,4,653,60.04,60,6,0,0,0,19,8.77,0.84,69,41.0,3600.05,3600,9,28520,0,0,False
run44,NV,tract,labeling,True,none,default,True,B_decreasing,True,True,4,671763,678513,687,1781,89,2385.92,10000,4,655,60.12,60,6,0,0,0,31,17.55,0.95,74,54.0,3600.09,3600,9,36848,0,0,False
