run,state,level,base,fixing,contiguity,symmetry,extended,order,heuristic,lp,k,L,U,n,m,heur_obj,heur_time,heur_iter,B_q,B_size,B_time,B_timelimit,DFixings,LFixings,UFixings_X,UFixings_R,ZFixings,LP_obj,LP_time,MIP_obj,MIP_bound,MIP_time,MIP_timelimit,MIP_status,MIP_nodes,callbacks,lazy_cuts,connected
run1,ME,county,labeling,True,scf,default,True,B_decreasing,False,False,2,660860,667501,16,34,n/a,n/a,n/a,2,13,0.02,60,1,27,1,2,5,n/a,n/a,16,16.0,0.09,3600,2,218,0,0,True
run2,NM,county,labeling,True,scf,default,True,B_decreasing,True,False,3,682962,689824,33,78,17,158.72,10000,3,28,0.20,60,3,87,31,7,69,n/a,n/a,17,17.0,0.06,3600,2,1,0,0,True
run3,ID,county,labeling,True,scf,default,True,B_decreasing,True,False,2,779873,787709,44,102,10,538.52,10000,2,41,0.05,60,1,83,1,2,5,n/a,n/a,10,10.0,0.12,3600,2,14,0,0,True
run4,WV,county,labeling,True,scf,default,True,B_decreasing,True,False,3,614577,620752,55,125,23,794.37,10000,3,48,3.72,60,3,147,1,5,14,n/a,n/a,23,23.0,1.20,3600,2,2851,0,0,True
run5,LA,county,labeling,True,scf,default,True,B_decreasing,False,False,6,751785,759339,64,160,n/a,n/a,n/a,6,53,31.00,60,15,333,23,21,80,n/a,n/a,49,49.0,1264.97,3600,2,636673,0,0,True
run6,AL,county,labeling,True,scf,default,True,B_decreasing,True,False,7,679406,686233,67,171,55,275.48,10000,7,52,60.06,60,21,385,90,42,287,n/a,n/a,55,55.0,2782.71,3600,2,808085,0,0,True
run7,AR,county,labeling,True,scf,default,True,B_decreasing,True,False,4,725335,732624,75,192,33,420.52,10000,4,64,23.72,60,6,262,1,8,20,n/a,n/a,33,33.0,35.47,3600,2,36091,0,0,True
run8,OK,county,labeling,True,scf,default,True,B_decreasing,True,False,5,746519,754021,77,195,40,379.33,10000,5,64,20.66,60,10,330,87,30,250,n/a,n/a,40,40.0,3.95,3600,2,2420,0,0,True
run9,MS,county,labeling,True,scf,default,True,B_decreasing,True,False,4,738116,745533,82,202,34,546.18,10000,4,69,60.05,60,6,282,1,10,20,n/a,n/a,34,34.0,146.70,3600,2,90911,0,0,True
run10,NE,county,labeling,True,scf,default,True,B_decreasing,True,False,3,605737,611824,93,231,19,278.07,10000,3,86,2.45,60,3,261,8,11,13,n/a,n/a,19,19.0,0.47,3600,2,99,0,0,True
run11,IA,county,labeling,True,scf,default,True,B_decreasing,True,False,4,757781,765396,99,222,33,560.04,10000,4,85,60.07,60,6,346,1,11,17,n/a,n/a,33,33.0,54.09,3600,2,33537,0,0,True
