run,state,level,base,fixing,contiguity,symmetry,extended,order,heuristic,lp,k,L,U,n,m,heur_obj,heur_time,heur_iter,B_q,B_size,B_time,B_timelimit,DFixings,LFixings,UFixings_X,UFixings_R,ZFixings,LP_obj,LP_time,MIP_obj,MIP_bound,MIP_time,MIP_timelimit,MIP_status,MIP_nodes,callbacks,lazy_cuts,connected
run1,ME,county,labeling,True,shir,default,True,B_decreasing,False,False,2,660860,667501,16,34,n/a,n/a,n/a,2,13,0.03,60,1,27,1,2,5,n/a,n/a,16,16.0,0.08,3600,2,153,0,0,True
run2,NM,county,labeling,True,shir,default,True,B_decreasing,True,False,3,682962,689824,33,78,17,158.72,10000,3,28,0.20,60,3,87,31,7,69,n/a,n/a,17,17.0,0.06,3600,2,1,0,0,True
run3,ID,county,labeling,True,shir,default,True,B_decreasing,True,False,2,779873,787709,44,102,10,538.52,10000,2,41,0.05,60,1,83,1,2,5,n/a,n/a,10,10.0,0.12,3600,2,16,0,0,True
run4,WV,county,labeling,True,shir,default,True,B_decreasing,True,False,3,614577,620752,55,125,23,794.37,10000,3,48,3.83,60,3,147,1,5,14,n/a,n/a,23,23.0,0.97,3600,2,1072,0,0,True
run5,LA,county,labeling,True,shir,default,True,B_decreasing,False,False,6,751785,759339,64,160,n/a,n/a,n/a,6,53,31.06,60,15,333,23,21,80,n/a,n/a,49,49.0,115.63,3600,2,70363,0,0,True
run6,AL,county,labeling,True,shir,default,True,B_decreasing,True,False,7,679406,686233,67,171,55,275.48,10000,7,52,60.06,60,21,385,90,42,287,n/a,n/a,55,55.0,1647.99,3600,2,312635,0,0,True
run7,AR,county,labeling,True,shir,default,True,B_decreasing,True,False,4,725335,732624,75,192,33,420.52,10000,4,64,27.73,60,6,262,1,8,20,n/a,n/a,33,33.0,44.08,3600,2,26404,0,0,True
run8,OK,county,labeling,True,shir,default,True,B_decreasing,True,False,5,746519,754021,77,195,40,379.33,10000,5,64,21.35,60,10,330,87,30,250,n/a,n/a,40,40.0,4.14,3600,2,1903,0,0,True
run9,MS,county,labeling,True,shir,default,True,B_decreasing,True,False,4,738116,745533,82,202,34,546.18,10000,4,69,60.09,60,6,282,1,10,20,n/a,n/a,34,34.0,71.88,3600,2,53258,0,0,True
run10,NE,county,labeling,True,shir,default,True,B_decreasing,True,False,3,605737,611824,93,231,19,278.07,10000,3,86,2.44,60,3,261,8,11,13,n/a,n/a,19,19.0,0.75,3600,2,104,0,0,True
run11,IA,county,labeling,True,shir,default,True,B_decreasing,True,False,4,757781,765396,99,222,33,560.04,10000,4,85,60.08,60,6,346,1,11,17,n/a,n/a,33,33.0,76.47,3600,2,31080,0,0,True
run12,KS,county,labeling,True,shir,default,True,B_decreasing,True,False,4,709714,716845,105,263,32,1281.95,10000,4,95,12.52,60,6,386,11,24,34,n/a,n/a,32,32.0,28.34,3600,2,8887,0,0,True
run13,NH,tract,labeling,True,shir,default,True,B_decreasing,True,False,2,654944,661526,295,786,27,1380.69,10000,2,283,7.52,60,1,567,1,11,7,n/a,n/a,26,26.0,9.77,3600,2,1836,0,0,True
run14,ID,tract,labeling,True,shir,default,True,B_decreasing,True,False,2,779873,787709,298,792,17,2836.42,10000,2,291,2.50,60,1,583,1,6,11,n/a,n/a,17,17.0,1.98,3600,2,166,0,0,True
run15,ME,tract,labeling,True,shir,default,True,B_decreasing,True,False,2,660860,667501,358,999,20,2453.25,10000,2,349,3.24,60,1,699,1,8,8,n/a,n/a,20,20.0,3.13,3600,2,156,0,0,True
