run,state,level,base,fixing,contiguity,symmetry,extended,order,heuristic,lp,k,L,U,n,m,heur_obj,heur_time,heur_iter,B_q,B_size,B_time,B_timelimit,DFixings,LFixings,UFixings_X,UFixings_R,ZFixings,LP_obj,LP_time,MIP_obj,MIP_bound,MIP_time,MIP_timelimit,MIP_status,MIP_nodes,callbacks,lazy_cuts,connected
run1,ME,county,labeling,True,scf,default,True,B_decreasing,False,False,2,660860,667501,16,34,n/a,n/a,n/a,2,13,0.03,60,1,19,1,6,5,n/a,n/a,16,16.0,0.09,3600,2,335,0,0,True
run2,NM,county,labeling,True,scf,default,True,B_decreasing,True,False,3,682962,689824,33,78,17,158.72,10000,3,28,0.20,60,3,57,31,27,69,n/a,n/a,17,17.0,0.05,3600,2,1,0,0,True
run3,ID,county,labeling,True,scf,default,True,B_decreasing,True,False,2,779873,787709,44,102,10,538.52,10000,2,41,0.05,60,1,33,1,27,5,n/a,n/a,10,10.0,0.06,3600,2,1,0,0,True
run4,WV,county,labeling,True,scf,default,True,B_decreasing,True,False,3,614577,620752,55,125,23,794.37,10000,3,48,3.89,60,3,87,1,25,14,n/a,n/a,23,23.0,2.80,3600,2,6083,0,0,True
run5,LA,county,labeling,True,scf,default,True,B_decreasing,False,False,6,751785,759339,64,160,n/a,n/a,n/a,6,53,30.70,60,15,303,23,36,80,n/a,n/a,50,43.0,3600.15,3600,9,918580,0,0,True
run6,AL,county,labeling,True,scf,default,True,B_decreasing,True,False,7,679406,686233,67,171,55,275.48,10000,7,52,60.04,60,21,301,90,90,287,n/a,n/a,55,55.0,2549.19,3600,2,940754,0,0,True
run7,AR,county,labeling,True,scf,default,True,B_decreasing,True,False,4,725335,732624,75,192,33,420.52,10000,4,64,23.81,60,6,158,1,34,20,n/a,n/a,33,33.0,42.07,3600,2,44718,0,0,True
run8,OK,county,labeling,True,scf,default,True,B_decreasing,True,False,5,746519,754021,77,195,40,379.33,10000,5,64,21.09,60,10,295,87,51,250,n/a,n/a,40,40.0,4.37,3600,2,2994,0,0,True
run9,MS,county,labeling,True,scf,default,True,B_decreasing,True,False,4,738116,745533,82,202,34,546.18,10000,4,69,60.09,60,6,182,1,35,20,n/a,n/a,34,34.0,193.24,3600,2,92090,0,0,True
run10,NE,county,labeling,True,scf,default,True,B_decreasing,True,False,3,605737,611824,93,231,19,278.07,10000,3,86,2.47,60,3,192,8,57,13,n/a,n/a,19,19.0,0.73,3600,2,136,0,0,True
