run,state,level,base,fixing,contiguity,symmetry,extended,order,heuristic,lp,k,L,U,n,m,heur_obj,heur_time,heur_iter,B_q,B_size,B_time,B_timelimit,DFixings,LFixings,UFixings_X,UFixings_R,ZFixings,LP_obj,LP_time,MIP_obj,MIP_bound,MIP_time,MIP_timelimit,MIP_status,MIP_nodes,callbacks,lazy_cuts,connected
run1,ME,county,labeling,True,lcut,orbitope,True,B_decreasing,False,False,2,660860,667501,16,34,n/a,n/a,n/a,2,13,0.02,60,1,19,1,5,5,n/a,n/a,16,16.0,0.16,3600,2,442,27,43,True
run2,NM,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,3,682962,689824,33,78,17,158.72,10000,3,28,0.19,60,3,57,31,26,69,n/a,n/a,17,17.0,0.16,3600,2,8,2,0,True
run3,ID,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,2,779873,787709,44,102,10,538.52,10000,2,41,0.05,60,1,33,1,26,5,n/a,n/a,10,10.0,0.12,3600,2,11,2,0,True
run4,WV,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,3,614577,620752,55,125,23,794.37,10000,3,48,3.78,60,3,87,1,24,14,n/a,n/a,23,23.0,1.14,3600,2,2534,8,13,True
run5,LA,county,labeling,True,lcut,orbitope,True,B_decreasing,False,False,6,751785,759339,64,160,n/a,n/a,n/a,6,53,32.36,60,15,303,23,35,80,n/a,n/a,49,49.0,136.14,3600,2,94617,71,718,True
run6,AL,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,7,679406,686233,67,171,55,275.48,10000,7,52,60.04,60,21,301,90,89,287,n/a,n/a,55,55.0,685.75,3600,2,1209522,11,13,True
run7,AR,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,4,725335,732624,75,192,33,420.52,10000,4,64,23.85,60,6,158,1,33,20,n/a,n/a,33,33.0,21.51,3600,2,14032,3,1,True
run8,OK,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,5,746519,754021,77,195,40,379.33,10000,5,64,20.44,60,10,295,87,50,250,n/a,n/a,40,40.0,4.80,3600,2,3378,2,0,True
run9,MS,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,4,738116,745533,82,202,34,546.18,10000,4,69,60.07,60,6,182,1,34,20,n/a,n/a,34,34.0,43.39,3600,2,73742,8,7,True
run10,NE,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,3,605737,611824,93,231,19,278.07,10000,3,86,2.77,60,3,192,8,56,13,n/a,n/a,19,19.0,1.34,3600,2,959,2,0,True
run11,IA,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,4,757781,765396,99,222,33,560.04,10000,4,85,60.07,60,6,214,1,43,17,n/a,n/a,33,33.0,34.28,3600,2,32075,2,0,True
run12,KS,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,4,709714,716845,105,263,32,1281.95,10000,4,95,12.39,60,6,270,11,110,34,n/a,n/a,32,32.0,17.27,3600,2,10393,5,5,True
run13,NH,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,2,654944,661526,295,786,27,1380.69,10000,2,283,7.39,60,1,291,1,148,7,n/a,n/a,26,26.0,9.06,3600,2,6896,3,0,True
run14,ID,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,2,779873,787709,298,792,17,2836.42,10000,2,291,2.55,60,1,185,1,204,11,n/a,n/a,17,17.0,1.53,3600,2,682,3,2,True
run15,ME,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,2,660860,667501,358,999,20,2453.25,10000,2,349,3.17,60,1,349,1,182,8,n/a,n/a,20,20.0,3.33,3600,2,2881,2,0,True
run16,WV,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,3,614577,620752,484,1266,47,2285.95,10000,3,467,60.15,60,3,837,1,203,18,n/a,n/a,43,43.0,86.98,3600,2,4177,6,4,True
run17,NM,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,3,682962,689824,499,1335,46,2343.16,10000,3,485,60.04,60,3,816,1,225,24,n/a,n/a,43,43.0,30.19,3600,2,709,3,0,True
run18,NE,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,3,605737,611824,532,1369,48,1788.45,10000,3,513,60.13,60,3,534,1,352,13,n/a,n/a,44,44.0,235.82,3600,2,8741,6,1,True
run19,UT,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,4,687517,694426,588,1605,90,2697.69,10000,4,556,60.03,60,6,1730,1,153,37,n/a,n/a,79,65.0,3600.11,3600,9,53553,12,16,True
run20,MS,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,4,738116,745533,664,1784,68,2128.48,10000,4,633,60.14,60,6,954,1,423,23,n/a,n/a,63,44.0,3600.09,3600,9,21734,5,0,True
run21,AR,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,4,725335,732624,686,1858,78,2194.78,10000,4,653,60.03,60,6,1590,1,286,23,n/a,n/a,70,38.0,3600.06,3600,9,15666,14,8,True
run22,NV,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,4,671763,678513,687,1781,89,2385.92,10000,4,655,60.12,60,6,1634,1,276,42,n/a,n/a,77,53.0,3600.12,3600,9,21460,38,45,True
run23,ME,county,labeling,True,scf,orbitope,True,B_decreasing,False,False,2,660860,667501,16,34,n/a,n/a,n/a,2,13,0.03,60,1,19,1,5,5,n/a,n/a,16,16.0,0.09,3600,2,207,0,0,True
run24,NM,county,labeling,True,scf,orbitope,True,B_decreasing,True,False,3,682962,689824,33,78,17,158.72,10000,3,28,0.19,60,3,57,31,26,69,n/a,n/a,17,17.0,0.08,3600,2,1,0,0,True
run25,ID,county,labeling,True,scf,orbitope,True,B_decreasing,True,False,2,779873,787709,44,102,10,538.52,10000,2,41,0.03,60,1,33,1,26,5,n/a,n/a,10,10.0,0.08,3600,2,1,0,0,True
run26,WV,county,labeling,True,scf,orbitope,True,B_decreasing,True,False,3,614577,620752,55,125,23,794.37,10000,3,48,3.85,60,3,87,1,24,14,n/a,n/a,23,23.0,1.80,3600,2,3595,0,0,True
run27,LA,county,labeling,True,scf,orbitope,True,B_decreasing,False,False,6,751785,759339,64,160,n/a,n/a,n/a,6,53,30.51,60,15,303,23,35,80,n/a,n/a,51,45.0,3600.28,3600,9,1171770,0,0,True
run28,AL,county,labeling,True,scf,orbitope,True,B_decreasing,True,False,7,679406,686233,67,171,55,275.48,10000,7,52,60.07,60,21,301,90,89,287,n/a,n/a,55,55.0,1486.28,3600,2,614123,0,0,True
