run,state,level,base,fixing,contiguity,symmetry,extended,order,heuristic,lp,k,L,U,n,m,heur_obj,heur_time,heur_iter,B_q,B_size,B_time,B_timelimit,DFixings,LFixings,UFixings_X,UFixings_R,ZFixings,LP_obj,LP_time,MIP_obj,MIP_bound,MIP_time,MIP_timelimit,MIP_status,MIP_nodes,callbacks,lazy_cuts,connected
run1,ME,county,labeling,True,lcut,orbitope,True,B_decreasing,False,False,2,660860,667501,16,34,n/a,n/a,n/a,2,13,0.02,60,1,27,1,1,5,n/a,n/a,16,16.0,0.17,3600,2,1080,31,44,True
run2,NM,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,3,682962,689824,33,78,17,158.72,10000,3,28,0.17,60,3,87,31,6,69,n/a,n/a,17,17.0,0.09,3600,2,7,2,0,True
run3,ID,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,2,779873,787709,44,102,10,538.52,10000,2,41,0.05,60,1,83,1,1,5,n/a,n/a,10,10.0,0.12,3600,2,16,2,0,True
run4,WV,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,3,614577,620752,55,125,23,794.37,10000,3,48,3.83,60,3,147,1,4,14,n/a,n/a,23,23.0,1.11,3600,2,1785,6,10,True
run5,LA,county,labeling,True,lcut,orbitope,True,B_decreasing,False,False,6,751785,759339,64,160,n/a,n/a,n/a,6,53,31.54,60,15,333,23,20,80,n/a,n/a,49,49.0,394.16,3600,2,272631,228,1504,True
run6,AL,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,7,679406,686233,67,171,55,275.48,10000,7,52,60.06,60,21,385,90,41,287,n/a,n/a,55,55.0,1019.40,3600,2,802391,11,13,True
run7,AR,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,4,725335,732624,75,192,33,420.52,10000,4,64,23.96,60,6,262,1,7,20,n/a,n/a,33,33.0,23.54,3600,2,26771,3,1,True
run8,OK,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,5,746519,754021,77,195,40,379.33,10000,5,64,20.57,60,10,330,87,29,250,n/a,n/a,40,40.0,8.50,3600,2,9037,2,0,True
run9,MS,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,4,738116,745533,82,202,34,546.18,10000,4,69,60.06,60,6,282,1,9,20,n/a,n/a,34,34.0,54.80,3600,2,86016,7,6,True
run10,NE,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,3,605737,611824,93,231,19,278.07,10000,3,86,2.37,60,3,261,8,10,13,n/a,n/a,19,19.0,1.44,3600,2,782,2,0,True
run11,IA,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,4,757781,765396,99,222,33,560.04,10000,4,85,60.06,60,6,346,1,10,17,n/a,n/a,33,33.0,29.79,3600,2,19379,2,0,True
run12,KS,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,4,709714,716845,105,263,32,1281.95,10000,4,95,12.47,60,6,386,11,23,34,n/a,n/a,32,32.0,27.21,3600,2,11565,5,5,True
run13,NH,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,2,654944,661526,295,786,27,1380.69,10000,2,283,7.47,60,1,567,1,10,7,n/a,n/a,26,26.0,3.53,3600,2,2461,3,0,True
run14,ID,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,2,779873,787709,298,792,17,2836.42,10000,2,291,2.58,60,1,583,1,5,11,n/a,n/a,17,17.0,1.77,3600,2,563,3,2,True
run15,ME,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,2,660860,667501,358,999,20,2453.25,10000,2,349,3.28,60,1,699,1,7,8,n/a,n/a,20,20.0,2.72,3600,2,2123,2,0,True
run16,WV,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,3,614577,620752,484,1266,47,2285.95,10000,3,467,60.13,60,3,1404,1,14,18,n/a,n/a,43,43.0,158.64,3600,2,12342,6,4,True
run17,NM,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,3,682962,689824,499,1335,46,2343.16,10000,3,485,60.03,60,3,1458,1,11,24,n/a,n/a,43,43.0,24.38,3600,2,1703,3,0,True
run18,NE,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,3,605737,611824,532,1369,48,1788.45,10000,3,513,60.12,60,3,1542,1,16,13,n/a,n/a,44,44.0,163.78,3600,2,8451,6,1,True
run19,UT,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,4,687517,694426,588,1605,90,2697.69,10000,4,556,60.05,60,6,2230,1,28,37,n/a,n/a,79,66.0,3600.15,3600,9,80457,15,16,True
run20,MS,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,4,738116,745533,664,1784,68,2128.48,10000,4,634,60.05,60,6,2542,1,26,23,n/a,n/a,63,45.0,3600.14,3600,9,36970,7,1,True
run21,AR,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,4,725335,732624,686,1858,78,2194.78,10000,4,653,60.05,60,6,2618,1,29,23,n/a,n/a,70,39.0,3600.11,3600,9,19100,14,5,True
run22,NV,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,4,671763,678513,687,1781,89,2385.92,10000,4,653,60.15,60,6,2618,1,30,42,n/a,n/a,77,55.0,3600.43,3600,9,26671,37,36,True
run23,ME,county,labeling,True,scf,orbitope,True,B_decreasing,False,False,2,660860,667501,16,34,n/a,n/a,n/a,2,13,0.05,60,1,27,1,1,5,n/a,n/a,16,16.0,0.12,3600,2,195,0,0,True
run24,NM,county,labeling,True,scf,orbitope,True,B_decreasing,True,False,3,682962,689824,33,78,17,158.72,10000,3,28,0.20,60,3,87,31,6,69,n/a,n/a,17,17.0,0.06,3600,2,1,0,0,True
run25,ID,county,labeling,True,scf,orbitope,True,B_decreasing,True,False,2,779873,787709,44,102,10,538.52,10000,2,41,0.06,60,1,83,1,1,5,n/a,n/a,10,10.0,0.05,3600,2,1,0,0,True
run26,WV,county,labeling,True,scf,orbitope,True,B_decreasing,True,False,3,614577,620752,55,125,23,794.37,10000,3,48,4.16,60,3,147,1,4,14,n/a,n/a,23,23.0,1.03,3600,2,1476,0,0,True
run27,LA,county,labeling,True,scf,orbitope,True,B_decreasing,False,False,6,751785,759339,64,160,n/a,n/a,n/a,6,53,34.62,60,15,333,23,20,80,n/a,n/a,49,49.0,512.65,3600,2,265550,0,0,True
run28,AL,county,labeling,True,scf,orbitope,True,B_decreasing,True,False,7,679406,686233,67,171,55,275.48,10000,7,52,60.08,60,21,385,90,41,287,n/a,n/a,55,55.0,1269.54,3600,2,475915,0,0,True
run29,AR,county,labeling,True,scf,orbitope,True,B_decreasing,True,False,4,725335,732624,75,192,33,420.52,10000,4,64,25.39,60,6,262,1,7,20,n/a,n/a,33,33.0,31.79,3600,2,18842,0,0,True
run30,OK,county,labeling,True,scf,orbitope,True,B_decreasing,True,False,5,746519,754021,77,195,40,379.33,10000,5,64,23.36,60,10,330,87,29,250,n/a,n/a,40,40.0,4.11,3600,2,2877,0,0,True
run31,MS,county,labeling,True,scf,orbitope,True,B_decreasing,True,False,4,738116,745533,82,202,34,546.18,10000,4,69,60.47,60,6,282,1,9,20,n/a,n/a,34,34.0,32.06,3600,2,33435,0,0,True
run32,NE,county,labeling,True,scf,orbitope,True,B_decreasing,True,False,3,605737,611824,93,231,19,278.07,10000,3,86,2.56,60,3,261,8,10,13,n/a,n/a,19,19.0,0.62,3600,2,140,0,0,True
run33,IA,county,labeling,True,scf,orbitope,True,B_decreasing,True,False,4,757781,765396,99,222,33,560.04,10000,4,85,60.09,60,6,346,1,10,17,n/a,n/a,33,33.0,35.59,3600,2,23266,0,0,True
run34,KS,county,labeling,True,scf,orbitope,True,B_decreasing,True,False,4,709714,716845,105,263,32,1281.95,10000,4,95,12.63,60,6,386,11,23,34,n/a,n/a,32,32.0,13.03,3600,2,5989,0,0,True
run35,NH,tract,labeling,True,scf,orbitope,True,B_decreasing,True,False,2,654944,661526,295,786,27,1380.69,10000,2,283,7.44,60,1,567,1,10,7,n/a,n/a,26,26.0,2.83,3600,2,1222,0,0,True
run36,ID,tract,labeling,True,scf,orbitope,True,B_decreasing,True,False,2,779873,787709,298,792,17,2836.42,10000,2,291,2.56,60,1,583,1,5,11,n/a,n/a,17,17.0,1.02,3600,2,182,0,0,True
run37,ME,tract,labeling,True,scf,orbitope,True,B_decreasing,True,False,2,660860,667501,358,999,20,2453.25,10000,2,349,3.45,60,1,699,1,7,8,n/a,n/a,20,20.0,1.29,3600,2,131,0,0,True
run38,WV,tract,labeling,True,scf,orbitope,True,B_decreasing,True,False,3,614577,620752,484,1266,47,2285.95,10000,3,467,60.15,60,3,1404,1,14,18,n/a,n/a,43,43.0,151.84,3600,2,7681,0,0,True
run39,NM,tract,labeling,True,scf,orbitope,True,B_decreasing,True,False,3,682962,689824,499,1335,46,2343.16,10000,3,485,60.04,60,3,1458,1,11,24,n/a,n/a,43,43.0,96.35,3600,2,5742,0,0,True
run40,NE,tract,labeling,True,scf,orbitope,True,B_decreasing,True,False,3,605737,611824,532,1369,48,1788.45,10000,3,513,60.11,60,3,1542,1,16,13,n/a,n/a,44,44.0,207.06,3600,2,9179,0,0,True
run41,UT,tract,labeling,True,scf,orbitope,True,B_decreasing,True,False,4,687517,694426,588,1605,90,2697.69,10000,4,556,60.03,60,6,2230,1,28,37,n/a,n/a,79,63.0,3600.06,3600,9,42814,0,0,True
