run,state,level,base,fixing,contiguity,symmetry,extended,order,heuristic,lp,k,L,U,n,m,heur_obj,heur_time,heur_iter,B_q,B_size,B_time,B_timelimit,DFixings,LFixings,UFixings_X,UFixings_R,ZFixings,LP_obj,LP_time,MIP_obj,MIP_bound,MIP_time,MIP_timelimit,MIP_status,MIP_nodes,callbacks,lazy_cuts,connected
run1,ME,county,labeling,False,none,default,False,none,False,True,2,660860,667501,16,34,n/a,n/a,n/a,n/a,0,n/a,n/a,0,0,0,0,0,0.00,0.06,8,8.0,0.07,3600,2,1,0,0,False
run2,NM,county,labeling,False,none,default,False,none,False,True,3,682962,689824,33,78,n/a,n/a,n/a,n/a,0,n/a,n/a,0,0,0,0,0,0.00,0.00,17,17.0,0.19,3600,2,92,0,0,True
run3,ID,county,labeling,False,none,default,False,none,False,True,2,779873,787709,44,102,n/a,n/a,n/a,n/a,0,n/a,n/a,0,0,0,0,0,0.00,0.00,10,10.0,0.14,3600,2,52,0,0,True
run4,WV,county,labeling,False,none,default,False,none,False,True,3,614577,620752,55,125,n/a,n/a,n/a,n/a,0,n/a,n/a,0,0,0,0,0,0.00,0.01,20,20.0,2.24,3600,2,6524,0,0,False
run5,LA,county,labeling,False,none,default,False,none,False,True,6,751785,759339,64,160,n/a,n/a,n/a,n/a,0,n/a,n/a,0,0,0,0,0,0.00,0.02,45,36.0,3600.07,3600,9,2540158,0,0,False
run6,AL,county,labeling,False,none,default,False,none,False,True,7,679406,686233,67,171,n/a,n/a,n/a,n/a,0,n/a,n/a,0,0,0,0,0,0.00,0.02,54,38.0,3600.05,3600,9,1586159,0,0,False
run7,AR,county,labeling,False,none,default,False,none,False,True,4,725335,732624,75,192,n/a,n/a,n/a,n/a,0,n/a,n/a,0,0,0,0,0,0.00,0.02,32,32.0,203.85,3600,2,266038,0,0,False
run8,OK,county,labeling,False,none,default,False,none,False,True,5,746519,754021,77,195,n/a,n/a,n/a,n/a,0,n/a,n/a,0,0,0,0,0,0.00,0.01,39,39.0,132.88,3600,2,76338,0,0,False
run9,MS,county,labeling,False,none,default,False,none,False,True,4,738116,745533,82,202,n/a,n/a,n/a,n/a,0,n/a,n/a,0,0,0,0,0,0.00,0.01,32,32.0,457.61,3600,2,836663,0,0,False
run10,NE,county,labeling,False,none,default,False,none,False,True,3,605737,611824,93,231,n/a,n/a,n/a,n/a,0,n/a,n/a,0,0,0,0,0,0.00,0.01,19,19.0,2.86,3600,2,2104,0,0,True
run11,IA,county,labeling,False,none,default,False,none,False,True,4,757781,765396,99,222,n/a,n/a,n/a,n/a,0,n/a,n/a,0,0,0,0,0,0.00,0.02,33,33.0,716.04,3600,2,529067,0,0,True
run12,KS,county,labeling,False,none,default,False,none,False,True,4,709714,716845,105,263,n/a,n/a,n/a,n/a,0,n/a,n/a,0,0,0,0,0,0.00,0.01,31,31.0,425.73,3600,2,320451,0,0,False
run13,ME,county,hess,False,none,default,False,none,False,True,2,660860,667501,16,34,n/a,n/a,n/a,n/a,0,n/a,n/a,0,0,0,0,0,0.27,0.04,8,8.0,2.32,3600,2,1480,0,0,False
run14,NM,county,hess,False,none,default,False,none,False,True,3,682962,689824,33,78,n/a,n/a,n/a,n/a,0,n/a,n/a,0,0,0,0,0,0.48,0.96,17,17.0,526.52,3600,2,49106,0,0,True
run15,ID,county,hess,False,none,default,False,none,False,True,2,779873,787709,44,102,n/a,n/a,n/a,n/a,0,n/a,n/a,0,0,0,0,0,0.09,1.61,10,10.0,652.21,3600,2,12326,0,0,True
run16,WV,county,hess,False,none,default,False,none,False,True,3,614577,620752,55,125,n/a,n/a,n/a,n/a,0,n/a,n/a,0,0,0,0,0,0.14,3.06,20,1.0,3600.23,3600,9,9301,0,0,False
run17,LA,county,hess,False,none,default,False,none,False,True,6,751785,759339,64,160,n/a,n/a,n/a,n/a,0,n/a,n/a,0,0,0,0,0,0.77,4.42,48,5.0,3600.24,3600,9,3708,0,0,False
run18,AL,county,hess,False,none,default,False,none,False,True,7,679406,686233,67,171,n/a,n/a,n/a,n/a,0,n/a,n/a,0,0,0,0,0,0.94,6.64,55,14.0,3600.22,3600,9,2018,0,0,False
run19,AR,county,hess,False,none,default,False,none,False,True,4,725335,732624,75,192,n/a,n/a,n/a,n/a,0,n/a,n/a,0,0,0,0,0,0.27,14.10,45,3.0,3600.19,3600,9,25,0,0,False
run20,OK,county,hess,False,none,default,False,none,False,True,5,746519,754021,77,195,n/a,n/a,n/a,n/a,0,n/a,n/a,0,0,0,0,0,0.36,12.67,49,4.0,3600.16,3600,9,25,0,0,False
run21,MS,county,hess,False,none,default,False,none,False,True,4,738116,745533,82,202,n/a,n/a,n/a,n/a,0,n/a,n/a,0,0,0,0,0,0.25,24.61,62,2.0,3600.30,3600,9,1,0,0,False
run22,NE,county,hess,False,none,default,False,none,False,True,3,605737,611824,93,231,n/a,n/a,n/a,n/a,0,n/a,n/a,0,0,0,0,0,0.11,32.68,30,1.0,3600.28,3600,9,1,0,0,False
run23,IA,county,hess,False,none,default,False,none,False,True,4,757781,765396,99,222,n/a,n/a,n/a,n/a,0,n/a,n/a,0,0,0,0,0,0.18,50.91,51,1.0,3600.09,3600,9,7,0,0,False
run24,KS,county,hess,False,none,default,False,none,False,True,4,709714,716845,105,263,n/a,n/a,n/a,n/a,0,n/a,n/a,0,0,0,0,0,0.18,353.06,53,1.0,3600.70,3600,9,1,0,0,False
