run,state,level,base,fixing,contiguity,symmetry,extended,order,heuristic,lp,k,L,U,n,m,heur_obj,heur_time,heur_iter,B_q,B_size,B_time,B_timelimit,DFixings,LFixings,UFixings_X,UFixings_R,ZFixings,LP_obj,LP_time,MIP_obj,MIP_bound,MIP_time,MIP_timelimit,MIP_status,MIP_nodes,callbacks,lazy_cuts,connected
run28,AL,county,labeling,True,lcut,aggressive,True,B_decreasing,True,False,7,679406,686233,67,171,55,275.48,10000,7,52,60.09,60,21,301,90,90,287,n/a,n/a,51,51.0,226.62,3600,2,120452,5,0,False
run29,AR,county,labeling,True,lcut,aggressive,True,B_decreasing,True,False,4,725335,732624,75,192,33,420.52,10000,4,64,24.27,60,6,158,1,34,20,n/a,n/a,32,32.0,24.89,3600,2,30705,3,0,False
run30,OK,county,labeling,True,lcut,aggressive,True,B_decreasing,True,False,5,746519,754021,77,195,40,379.33,10000,5,64,20.79,60,10,295,87,51,250,n/a,n/a,40,40.0,7.75,3600,2,7598,2,0,True
run31,MS,county,labeling,True,lcut,aggressive,True,B_decreasing,True,False,4,738116,745533,82,202,34,546.18,10000,4,69,60.08,60,6,182,1,35,20,n/a,n/a,32,32.0,22.03,3600,2,31424,4,0,False
run32,NE,county,labeling,True,lcut,aggressive,True,B_decreasing,True,False,3,605737,611824,93,231,19,278.07,10000,3,86,2.50,60,3,192,8,57,13,n/a,n/a,19,19.0,1.03,3600,2,611,2,0,True
run33,IA,county,labeling,True,lcut,aggressive,True,B_decreasing,True,False,4,757781,765396,99,222,33,560.04,10000,4,85,60.06,60,6,214,1,44,17,n/a,n/a,33,33.0,47.77,3600,2,47784,2,0,True
run34,KS,county,labeling,True,lcut,aggressive,True,B_decreasing,True,False,4,709714,716845,105,263,32,1281.95,10000,4,95,12.59,60,6,270,11,111,34,n/a,n/a,31,31.0,8.41,3600,2,4556,3,0,False
run35,NH,tract,labeling,True,lcut,aggressive,True,B_decreasing,True,False,2,654944,661526,295,786,27,1380.69,10000,2,283,7.54,60,1,291,1,149,7,n/a,n/a,26,26.0,4.51,3600,2,3500,3,0,True
run36,ID,tract,labeling,True,lcut,aggressive,True,B_decreasing,True,False,2,779873,787709,298,792,17,2836.42,10000,2,291,2.59,60,1,185,1,205,11,n/a,n/a,16,16.0,2.57,3600,2,3350,3,0,False
run37,ME,tract,labeling,True,lcut,aggressive,True,B_decreasing,True,False,2,660860,667501,358,999,20,2453.25,10000,2,349,3.27,60,1,349,1,183,8,n/a,n/a,20,20.0,5.05,3600,2,7023,2,0,True
run38,WV,tract,labeling,True,lcut,aggressive,True,B_decreasing,True,False,3,614577,620752,484,1266,47,2285.95,10000,3,467,60.11,60,3,837,1,204,18,n/a,n/a,42,42.0,87.18,3600,2,6074,5,0,False
run39,NM,tract,labeling,True,lcut,aggressive,True,B_decreasing,True,False,3,682962,689824,499,1335,46,2343.16,10000,3,485,60.03,60,3,816,1,226,24,n/a,n/a,43,43.0,83.39,3600,2,10853,3,0,True
run40,NE,tract,labeling,True,lcut,aggressive,True,B_decreasing,True,False,3,605737,611824,532,1369,48,1788.45,10000,3,513,60.11,60,3,534,1,353,13,n/a,n/a,44,44.0,253.96,3600,2,22682,5,0,False
run41,UT,tract,labeling,True,lcut,aggressive,True,B_decreasing,True,False,4,687517,694426,588,1605,90,2697.69,10000,4,556,60.05,60,6,1730,1,154,37,n/a,n/a,74,74.0,3582.18,3600,2,98812,15,0,False
run42,MS,tract,labeling,True,lcut,aggressive,True,B_decreasing,True,False,4,738116,745533,664,1784,68,2128.48,10000,4,634,60.04,60,6,954,1,424,23,n/a,n/a,63,48.0,3600.07,3600,9,40959,6,0,True
run43,AR,tract,labeling,True,lcut,aggressive,True,B_decreasing,True,False,4,725335,732624,686,1858,78,2194.78,10000,4,653,60.05,60,6,1590,1,287,23,n/a,n/a,69,38.0,3600.07,3600,9,24303,9,0,False
run44,NV,tract,labeling,True,lcut,aggressive,True,B_decreasing,True,False,4,671763,678513,687,1781,89,2385.92,10000,4,655,60.12,60,6,1634,1,277,42,n/a,n/a,71,55.0,3600.13,3600,9,37936,10,0,False
run45,ME,county,labeling,True,lcut,orbitope,True,B_decreasing,False,False,2,660860,667501,16,34,n/a,n/a,n/a,2,13,0.03,60,1,19,1,5,5,n/a,n/a,8,8.0,0.21,3600,2,13,2,0,False
run46,NM,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,3,682962,689824,33,78,17,158.72,10000,3,28,0.19,60,3,57,31,26,69,n/a,n/a,17,17.0,0.16,3600,2,8,2,0,True
run47,ID,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,2,779873,787709,44,102,10,538.52,10000,2,41,0.04,60,1,33,1,26,5,n/a,n/a,10,10.0,0.11,3600,2,11,2,0,True
run48,WV,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,3,614577,620752,55,125,23,794.37,10000,3,48,3.91,60,3,87,1,24,14,n/a,n/a,20,20.0,0.65,3600,2,547,4,0,False
run49,LA,county,labeling,True,lcut,orbitope,True,B_decreasing,False,False,6,751785,759339,64,160,n/a,n/a,n/a,6,53,30.69,60,15,303,23,35,80,n/a,n/a,44,44.0,191.38,3600,2,71794,20,0,False
run50,AL,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,7,679406,686233,67,171,55,275.48,10000,7,52,60.09,60,21,301,90,89,287,n/a,n/a,51,51.0,219.34,3600,2,112199,5,0,False
run51,AR,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,4,725335,732624,75,192,33,420.52,10000,4,64,24.15,60,6,158,1,33,20,n/a,n/a,32,32.0,19.89,3600,2,13435,3,0,False
run52,OK,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,5,746519,754021,77,195,40,379.33,10000,5,64,20.76,60,10,295,87,50,250,n/a,n/a,40,40.0,4.79,3600,2,3378,2,0,True
run53,MS,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,4,738116,745533,82,202,34,546.18,10000,4,69,60.03,60,6,182,1,34,20,n/a,n/a,32,32.0,21.85,3600,2,17556,4,0,False
run54,NE,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,3,605737,611824,93,231,19,278.07,10000,3,86,2.42,60,3,192,8,56,13,n/a,n/a,19,19.0,1.23,3600,2,959,2,0,True
run55,IA,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,4,757781,765396,99,222,33,560.04,10000,4,85,60.09,60,6,214,1,43,17,n/a,n/a,33,33.0,34.02,3600,2,32075,2,0,True
run56,KS,county,labeling,True,lcut,orbitope,True,B_decreasing,True,False,4,709714,716845,105,263,32,1281.95,10000,4,95,12.58,60,6,270,11,110,34,n/a,n/a,31,31.0,16.38,3600,2,9676,3,0,False
run57,NH,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,2,654944,661526,295,786,27,1380.69,10000,2,283,7.55,60,1,291,1,148,7,n/a,n/a,26,26.0,9.27,3600,2,6896,3,0,True
run58,ID,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,2,779873,787709,298,792,17,2836.42,10000,2,291,2.56,60,1,185,1,204,11,n/a,n/a,16,16.0,1.58,3600,2,676,3,0,False
run59,ME,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,2,660860,667501,358,999,20,2453.25,10000,2,349,3.36,60,1,349,1,182,8,n/a,n/a,20,20.0,3.29,3600,2,2881,2,0,True
run60,WV,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,3,614577,620752,484,1266,47,2285.95,10000,3,467,60.06,60,3,837,1,203,18,n/a,n/a,42,42.0,110.02,3600,2,9674,5,0,False
run61,NM,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,3,682962,689824,499,1335,46,2343.16,10000,3,485,60.17,60,3,816,1,225,24,n/a,n/a,43,43.0,30.86,3600,2,709,3,0,True
run62,NE,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,3,605737,611824,532,1369,48,1788.45,10000,3,513,60.08,60,3,534,1,352,13,n/a,n/a,44,44.0,254.03,3600,2,6743,5,0,True
run63,UT,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,4,687517,694426,588,1605,90,2697.69,10000,4,556,60.02,60,6,1730,1,153,37,n/a,n/a,74,66.0,3600.16,3600,9,47030,9,0,False
run64,MS,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,4,738116,745533,664,1784,68,2128.48,10000,4,634,60.07,60,6,954,1,423,23,n/a,n/a,63,41.0,3600.10,3600,9,18796,7,0,True
run65,AR,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,4,725335,732624,686,1858,78,2194.78,10000,4,653,60.06,60,6,1590,1,286,23,n/a,n/a,70,36.0,3600.21,3600,9,12056,8,0,False
run66,NV,tract,labeling,True,lcut,orbitope,True,B_decreasing,True,False,4,671763,678513,687,1781,89,2385.92,10000,4,655,60.14,60,6,1634,1,276,42,n/a,n/a,72,46.0,3600.22,3600,9,19217,12,0,False
