run,state,level,base,fixing,contiguity,symmetry,extended,order,heuristic,lp,k,L,U,n,m,heur_obj,heur_time,heur_iter,B_q,B_size,B_time,B_timelimit,DFixings,LFixings,UFixings_X,UFixings_R,ZFixings,LP_obj,LP_time,MIP_obj,MIP_bound,MIP_time,MIP_timelimit,MIP_status,MIP_nodes,callbacks,lazy_cuts,connected
run1,ME,county,hess,True,lcut,default,True,B_decreasing,False,False,2,660860,667501,16,34,n/a,n/a,n/a,2,13,0.03,60,120,91,0,n/a,449,n/a,n/a,16,16.0,0.19,3600,2,721,32,44,True
run2,NM,county,hess,True,lcut,default,True,B_decreasing,True,False,3,682962,689824,33,78,17,158.72,10000,3,28,0.17,60,528,406,28,n/a,2259,n/a,n/a,17,17.0,0.28,3600,2,6,2,0,True
run3,ID,county,hess,True,lcut,default,True,B_decreasing,True,False,2,779873,787709,44,102,10,538.52,10000,2,41,0.05,60,946,861,0,n/a,4186,n/a,n/a,10,10.0,0.31,3600,2,23,2,0,True
run4,WV,county,hess,True,lcut,default,True,B_decreasing,True,False,3,614577,620752,55,125,23,794.37,10000,3,48,3.62,60,1485,1176,20,n/a,6100,n/a,n/a,23,23.0,3.04,3600,2,5793,7,11,True
run5,LA,county,hess,True,lcut,default,True,B_decreasing,False,False,6,751785,759339,64,160,n/a,n/a,n/a,6,53,30.68,60,2016,1431,58,n/a,8748,n/a,n/a,49,49.0,209.87,3600,2,212989,174,1027,True
run6,AL,county,hess,True,lcut,default,True,B_decreasing,True,False,7,679406,686233,67,171,55,275.48,10000,7,52,60.04,60,2211,1378,110,n/a,9509,n/a,n/a,55,55.0,1125.44,3600,2,831095,11,12,True
run7,AR,county,hess,True,lcut,default,True,B_decreasing,True,False,4,725335,732624,75,192,33,420.52,10000,4,64,24.01,60,2775,2080,28,n/a,12535,n/a,n/a,33,33.0,45.86,3600,2,36667,3,1,True
run8,OK,county,hess,True,lcut,default,True,B_decreasing,True,False,5,746519,754021,77,195,40,379.33,10000,5,64,20.83,60,2926,2080,101,n/a,12973,n/a,n/a,40,40.0,9.43,3600,2,2881,2,0,True
run9,MS,county,hess,True,lcut,default,True,B_decreasing,True,False,4,738116,745533,82,202,34,546.18,10000,4,69,60.07,60,3321,2415,20,n/a,14240,n/a,n/a,34,34.0,107.80,3600,2,57782,6,5,True
run10,NE,county,hess,True,lcut,default,True,B_decreasing,True,False,3,605737,611824,93,231,19,278.07,10000,3,86,2.56,60,4278,3741,5,n/a,19900,n/a,n/a,19,19.0,2.47,3600,2,546,2,0,True
