run,state,level,base,fixing,contiguity,symmetry,extended,order,heuristic,lp,k,L,U,n,m,heur_obj,heur_time,heur_iter,B_q,B_size,B_time,B_timelimit,DFixings,LFixings,UFixings_X,UFixings_R,ZFixings,LP_obj,LP_time,MIP_obj,MIP_bound,MIP_time,MIP_timelimit,MIP_status,MIP_nodes,callbacks,lazy_cuts,connected
run1,ME,county,labeling,True,lcut,default,True,B_decreasing,False,False,2,660860,667501,16,34,n/a,n/a,n/a,2,13,0.02,60,1,27,1,2,5,n/a,n/a,16,16.0,0.12,3600,2,427,35,48,True
run2,NM,county,labeling,True,lcut,default,True,B_decreasing,True,False,3,682962,689824,33,78,17,158.72,10000,3,28,0.17,60,3,87,31,7,69,n/a,n/a,17,17.0,0.11,3600,2,11,2,0,True
run3,ID,county,labeling,True,lcut,default,True,B_decreasing,True,False,2,779873,787709,44,102,10,538.52,10000,2,41,0.03,60,1,83,1,2,5,n/a,n/a,10,10.0,0.11,3600,2,41,2,0,True
run4,WV,county,labeling,True,lcut,default,True,B_decreasing,True,False,3,614577,620752,55,125,23,794.37,10000,3,48,3.81,60,3,147,1,5,14,n/a,n/a,23,23.0,1.78,3600,2,3940,9,16,True
run5,LA,county,labeling,True,lcut,default,True,B_decreasing,False,False,6,751785,759339,64,160,n/a,n/a,n/a,6,53,30.80,60,15,333,23,21,80,n/a,n/a,49,49.00000000000007,504.37,3600,2,423363,80,775,True
run6,AL,county,labeling,True,lcut,default,True,B_decreasing,True,False,7,679406,686233,67,171,55,275.48,10000,7,52,60.04,60,21,385,90,42,287,n/a,n/a,55,55.0,1005.77,3600,2,995220,11,13,True
run7,AR,county,labeling,True,lcut,default,True,B_decreasing,True,False,4,725335,732624,75,192,33,420.52,10000,4,64,23.79,60,6,262,1,8,20,n/a,n/a,33,33.0,28.43,3600,2,38142,3,1,True
run8,OK,county,labeling,True,lcut,default,True,B_decreasing,True,False,5,746519,754021,77,195,40,379.33,10000,5,64,20.81,60,10,330,87,30,250,n/a,n/a,40,40.0,8.82,3600,2,10211,2,0,True
run9,MS,county,labeling,True,lcut,default,True,B_decreasing,True,False,4,738116,745533,82,202,34,546.18,10000,4,69,60.05,60,6,282,1,10,20,n/a,n/a,34,34.0,38.83,3600,2,77287,9,9,True
run10,NE,county,labeling,True,lcut,default,True,B_decreasing,True,False,3,605737,611824,93,231,19,278.07,10000,3,86,2.37,60,3,261,8,11,13,n/a,n/a,19,19.0,0.67,3600,2,391,2,0,True
run11,IA,county,labeling,True,lcut,default,True,B_decreasing,True,False,4,757781,765396,99,222,33,560.04,10000,4,85,60.05,60,6,346,1,11,17,n/a,n/a,33,33.0,27.68,3600,2,21204,2,0,True
run12,KS,county,labeling,True,lcut,default,True,B_decreasing,True,False,4,709714,716845,105,263,32,1281.95,10000,4,95,12.58,60,6,386,11,24,34,n/a,n/a,32,32.0,10.15,3600,2,5311,5,4,True
run13,NH,tract,labeling,True,lcut,default,True,B_decreasing,True,False,2,654944,661526,295,786,27,1380.69,10000,2,283,7.39,60,1,567,1,11,7,n/a,n/a,26,26.0,3.42,3600,2,3760,3,0,True
run14,ID,tract,labeling,True,lcut,default,True,B_decreasing,True,False,2,779873,787709,298,792,17,2836.42,10000,2,291,2.47,60,1,583,1,6,11,n/a,n/a,17,17.0,2.03,3600,2,2531,3,2,True
run15,ME,tract,labeling,True,lcut,default,True,B_decreasing,True,False,2,660860,667501,358,999,20,2453.25,10000,2,349,3.20,60,1,699,1,8,8,n/a,n/a,20,20.0,4.27,3600,2,6061,2,0,True
run16,WV,tract,labeling,True,lcut,default,True,B_decreasing,True,False,3,614577,620752,484,1266,47,2285.95,10000,3,467,60.10,60,3,1404,1,15,18,n/a,n/a,43,43.0,140.67,3600,2,12978,9,10,True
