run,state,level,base,fixing,contiguity,symmetry,extended,order,heuristic,lp,k,L,U,n,m,heur_obj,heur_time,heur_iter,B_q,B_size,B_time,B_timelimit,DFixings,LFixings,UFixings_X,UFixings_R,ZFixings,LP_obj,LP_time,MIP_obj,MIP_bound,MIP_time,MIP_timelimit,MIP_status,MIP_nodes,callbacks,lazy_cuts,connected
run1,ME,county,labeling,True,shir,default,True,B_decreasing,False,False,2,660860,667501,16,34,n/a,n/a,n/a,2,13,0.02,60,1,19,1,6,5,n/a,n/a,16,16.0,0.12,3600,2,227,0,0,True
run2,NM,county,labeling,True,shir,default,True,B_decreasing,True,False,3,682962,689824,33,78,17,158.72,10000,3,28,0.19,60,3,57,31,27,69,n/a,n/a,17,17.0,0.06,3600,2,1,0,0,True
run3,ID,county,labeling,True,shir,default,True,B_decreasing,True,False,2,779873,787709,44,102,10,538.52,10000,2,41,0.03,60,1,33,1,27,5,n/a,n/a,10,10.0,0.08,3600,2,1,0,0,True
run4,WV,county,labeling,True,shir,default,True,B_decreasing,True,False,3,614577,620752,55,125,23,794.37,10000,3,48,4.03,60,3,87,1,25,14,n/a,n/a,23,23.0,1.86,3600,2,2725,0,0,True
run5,LA,county,labeling,True,shir,default,True,B_decreasing,False,False,6,751785,759339,64,160,n/a,n/a,n/a,6,53,32.60,60,15,303,23,36,80,n/a,n/a,49,49.0,712.90,3600,2,180923,0,0,True
run6,AL,county,labeling,True,shir,default,True,B_decreasing,True,False,7,679406,686233,67,171,55,275.48,10000,7,52,60.06,60,21,301,90,90,287,n/a,n/a,55,55.0,1176.81,3600,2,245614,0,0,True
run7,AR,county,labeling,True,shir,default,True,B_decreasing,True,False,4,725335,732624,75,192,33,420.52,10000,4,64,23.87,60,6,158,1,34,20,n/a,n/a,33,33.0,45.71,3600,2,19641,0,0,True
run8,OK,county,labeling,True,shir,default,True,B_decreasing,True,False,5,746519,754021,77,195,40,379.33,10000,5,64,20.78,60,10,295,87,51,250,n/a,n/a,40,40.0,4.41,3600,2,1844,0,0,True
run9,MS,county,labeling,True,shir,default,True,B_decreasing,True,False,4,738116,745533,82,202,34,546.18,10000,4,69,60.08,60,6,182,1,35,20,n/a,n/a,34,34.0,66.48,3600,2,48164,0,0,True
run10,NE,county,labeling,True,shir,default,True,B_decreasing,True,False,3,605737,611824,93,231,19,278.07,10000,3,86,2.52,60,3,192,8,57,13,n/a,n/a,19,19.0,0.75,3600,2,81,0,0,True
run11,IA,county,labeling,True,shir,default,True,B_decreasing,True,False,4,757781,765396,99,222,33,560.04,10000,4,85,60.08,60,6,214,1,44,17,n/a,n/a,33,33.0,50.15,3600,2,14601,0,0,True
run12,KS,county,labeling,True,shir,default,True,B_decreasing,True,False,4,709714,716845,105,263,32,1281.95,10000,4,95,12.47,60,6,270,11,111,34,n/a,n/a,32,32.0,29.97,3600,2,10060,0,0,True
run13,NH,tract,labeling,True,shir,default,True,B_decreasing,True,False,2,654944,661526,295,786,27,1380.69,10000,2,283,7.44,60,1,291,1,149,7,n/a,n/a,26,26.0,8.39,3600,2,1943,0,0,True
run14,ID,tract,labeling,True,shir,default,True,B_decreasing,True,False,2,779873,787709,298,792,17,2836.42,10000,2,291,2.50,60,1,185,1,205,11,n/a,n/a,17,17.0,2.28,3600,2,132,0,0,True
run15,ME,tract,labeling,True,shir,default,True,B_decreasing,True,False,2,660860,667501,358,999,20,2453.25,10000,2,349,3.17,60,1,349,1,183,8,n/a,n/a,20,20.0,2.03,3600,2,37,0,0,True
run16,WV,tract,labeling,True,shir,default,True,B_decreasing,True,False,3,614577,620752,484,1266,47,2285.95,10000,3,467,60.12,60,3,837,1,204,18,n/a,n/a,43,43.0,325.08,3600,2,19090,0,0,True
run17,NM,tract,labeling,True,shir,default,True,B_decreasing,True,False,3,682962,689824,499,1335,46,2343.16,10000,3,485,60.03,60,3,816,1,226,24,n/a,n/a,43,43.0,75.98,3600,2,2389,0,0,True
run18,NE,tract,labeling,True,shir,default,True,B_decreasing,True,False,3,605737,611824,532,1369,48,1788.45,10000,3,513,60.16,60,3,534,1,353,13,n/a,n/a,44,44.0,566.64,3600,2,9218,0,0,True
run19,UT,tract,labeling,True,shir,default,True,B_decreasing,True,False,4,687517,694426,588,1605,90,2697.69,10000,4,556,60.02,60,6,1730,1,154,37,n/a,n/a,80,63.0,3600.10,3600,9,18748,0,0,True
run20,MS,tract,labeling,True,shir,default,True,B_decreasing,True,False,4,738116,745533,664,1784,68,2128.48,10000,4,634,60.13,60,6,954,1,424,23,n/a,n/a,63,40.0,3600.12,3600,9,8134,0,0,True
run21,AR,tract,labeling,True,shir,default,True,B_decreasing,True,False,4,725335,732624,686,1858,78,2194.78,10000,4,653,60.04,60,6,1590,1,287,23,n/a,n/a,69,27.0,3600.12,3600,9,3113,0,0,True
run22,NV,tract,labeling,True,shir,default,True,B_decreasing,True,False,4,671763,678513,687,1781,89,2385.92,10000,4,655,60.11,60,6,1634,1,277,42,n/a,n/a,77,48.0,3600.09,3600,9,8005,0,0,True
run23,ME,county,labeling,True,shir,aggressive,True,B_decreasing,False,False,2,660860,667501,16,34,n/a,n/a,n/a,2,13,0.03,60,1,19,1,6,5,n/a,n/a,16,16.0,0.09,3600,2,227,0,0,True
run24,NM,county,labeling,True,shir,aggressive,True,B_decreasing,True,False,3,682962,689824,33,78,17,158.72,10000,3,28,0.19,60,3,57,31,27,69,n/a,n/a,17,17.0,0.08,3600,2,1,0,0,True
run25,ID,county,labeling,True,shir,aggressive,True,B_decreasing,True,False,2,779873,787709,44,102,10,538.52,10000,2,41,0.05,60,1,33,1,27,5,n/a,n/a,10,10.0,0.06,3600,2,1,0,0,True
run26,WV,county,labeling,True,shir,aggressive,True,B_decreasing,True,False,3,614577,620752,55,125,23,794.37,10000,3,48,3.72,60,3,87,1,25,14,n/a,n/a,23,23.0,1.69,3600,2,2725,0,0,True
run27,LA,county,labeling,True,shir,aggressive,True,B_decreasing,False,False,6,751785,759339,64,160,n/a,n/a,n/a,6,53,30.89,60,15,303,23,36,80,n/a,n/a,49,49.0,687.30,3600,2,180923,0,0,True
run28,AL,county,labeling,True,shir,aggressive,True,B_decreasing,True,False,7,679406,686233,67,171,55,275.48,10000,7,52,60.03,60,21,301,90,90,287,n/a,n/a,55,55.0,1173.98,3600,2,267779,0,0,True
run29,AR,county,labeling,True,shir,aggressive,True,B_decreasing,True,False,4,725335,732624,75,192,33,420.52,10000,4,64,24.25,60,6,158,1,34,20,n/a,n/a,33,33.0,46.91,3600,2,23025,0,0,True
run30,OK,county,labeling,True,shir,aggressive,True,B_decreasing,True,False,5,746519,754021,77,195,40,379.33,10000,5,64,21.52,60,10,295,87,51,250,n/a,n/a,40,40.0,4.41,3600,2,1844,0,0,True
run31,MS,county,labeling,True,shir,aggressive,True,B_decreasing,True,False,4,738116,745533,82,202,34,546.18,10000,4,69,60.09,60,6,182,1,35,20,n/a,n/a,34,34.0,65.47,3600,2,48164,0,0,True
run32,NE,county,labeling,True,shir,aggressive,True,B_decreasing,True,False,3,605737,611824,93,231,19,278.07,10000,3,86,2.55,60,3,192,8,57,13,n/a,n/a,19,19.0,0.78,3600,2,81,0,0,True
run33,IA,county,labeling,True,shir,aggressive,True,B_decreasing,True,False,4,757781,765396,99,222,33,560.04,10000,4,85,60.07,60,6,214,1,44,17,n/a,n/a,33,33.0,71.92,3600,2,26168,0,0,True
run34,KS,county,labeling,True,shir,aggressive,True,B_decreasing,True,False,4,709714,716845,105,263,32,1281.95,10000,4,95,12.63,60,6,270,11,111,34,n/a,n/a,32,32.0,29.74,3600,2,10060,0,0,True
run35,NH,tract,labeling,True,shir,aggressive,True,B_decreasing,True,False,2,654944,661526,295,786,27,1380.69,10000,2,283,7.44,60,1,291,1,149,7,n/a,n/a,26,26.0,8.28,3600,2,1943,0,0,True
run36,ID,tract,labeling,True,shir,aggressive,True,B_decreasing,True,False,2,779873,787709,298,792,17,2836.42,10000,2,291,2.58,60,1,185,1,205,11,n/a,n/a,17,17.0,2.17,3600,2,132,0,0,True
run37,ME,tract,labeling,True,shir,aggressive,True,B_decreasing,True,False,2,660860,667501,358,999,20,2453.25,10000,2,349,3.20,60,1,349,1,183,8,n/a,n/a,20,20.0,2.05,3600,2,37,0,0,True
run38,WV,tract,labeling,True,shir,aggressive,True,B_decreasing,True,False,3,614577,620752,484,1266,47,2285.95,10000,3,467,60.09,60,3,837,1,204,18,n/a,n/a,43,43.0,334.71,3600,2,19090,0,0,True
run39,NM,tract,labeling,True,shir,aggressive,True,B_decreasing,True,False,3,682962,689824,499,1335,46,2343.16,10000,3,485,60.05,60,3,816,1,226,24,n/a,n/a,43,43.0,76.66,3600,2,2389,0,0,True
run40,NE,tract,labeling,True,shir,aggressive,True,B_decreasing,True,False,3,605737,611824,532,1369,48,1788.45,10000,3,513,60.07,60,3,534,1,353,13,n/a,n/a,44,44.0,564.00,3600,2,9218,0,0,True
run41,UT,tract,labeling,True,shir,aggressive,True,B_decreasing,True,False,4,687517,694426,588,1605,90,2697.69,10000,4,556,60.03,60,6,1730,1,154,37,n/a,n/a,80,63.0,3600.11,3600,9,18810,0,0,True
run42,MS,tract,labeling,True,shir,aggressive,True,B_decreasing,True,False,4,738116,745533,664,1784,68,2128.48,10000,4,634,60.14,60,6,954,1,424,23,n/a,n/a,63,40.0,3600.14,3600,9,8042,0,0,True
run43,AR,tract,labeling,True,shir,aggressive,True,B_decreasing,True,False,4,725335,732624,686,1858,78,2194.78,10000,4,653,60.06,60,6,1590,1,287,23,n/a,n/a,69,27.0,3600.22,3600,9,3112,0,0,True
run44,NV,tract,labeling,True,shir,aggressive,True,B_decreasing,True,False,4,671763,678513,687,1781,89,2385.92,10000,4,655,60.12,60,6,1634,1,277,42,n/a,n/a,77,48.0,3600.21,3600,9,8000,0,0,True
