run,state,level,base,fixing,contiguity,symmetry,extended,order,heuristic,lp,k,L,U,n,m,heur_obj,heur_time,heur_iter,B_q,B_size,B_time,B_timelimit,DFixings,LFixings,UFixings_X,UFixings_R,ZFixings,LP_obj,LP_time,MIP_obj,MIP_bound,MIP_time,MIP_timelimit,MIP_status,MIP_nodes,callbacks,lazy_cuts,connected
run1,ME,county,hess,True,none,default,False,B_decreasing,False,True,2,660860,667501,16,34,n/a,n/a,n/a,2,13,0.02,60,120,15,0,n/a,0,2.74,0.02,8,8.0,0.05,3600,2,1,0,0,False
run2,NM,county,hess,True,none,default,False,B_decreasing,True,True,3,682962,689824,33,78,17,158.72,10000,3,28,0.20,60,528,210,15,n/a,0,6.43,0.09,17,17.0,0.52,3600,2,1,0,0,True
run3,ID,county,hess,True,none,default,False,B_decreasing,True,True,2,779873,787709,44,102,10,538.52,10000,2,41,0.05,60,946,406,0,n/a,0,2.53,0.27,10,10.0,0.85,3600,2,1,0,0,True
run4,WV,county,hess,True,none,default,False,B_decreasing,True,True,3,614577,620752,55,125,23,794.37,10000,3,48,3.71,60,1485,253,0,n/a,0,4.22,0.81,20,20.0,13.60,3600,2,1282,0,0,False
run5,LA,county,hess,True,none,default,False,B_decreasing,False,True,6,751785,759339,64,160,n/a,n/a,n/a,6,53,32.06,60,2016,91,3,n/a,0,5.73,1.94,45,36.0,3600.45,3600,9,136218,0,0,False
run6,AL,county,hess,True,none,default,False,B_decreasing,True,True,7,679406,686233,67,171,55,275.48,10000,7,52,60.05,60,2211,171,38,n/a,0,13.38,1.93,51,42.0,3600.08,3600,9,141054,0,0,False
run7,AR,county,hess,True,none,default,False,B_decreasing,True,True,4,725335,732624,75,192,33,420.52,10000,4,64,24.10,60,2775,171,0,n/a,0,6.40,1.87,32,32.0,1003.25,3600,2,58002,0,0,False
run8,OK,county,hess,True,none,default,False,B_decreasing,True,True,5,746519,754021,77,195,40,379.33,10000,5,64,21.02,60,2926,171,28,n/a,0,12.62,2.94,39,39.0,510.67,3600,2,40662,0,0,False
run9,MS,county,hess,True,none,default,False,B_decreasing,True,True,4,738116,745533,82,202,34,546.18,10000,4,69,60.06,60,3321,190,0,n/a,0,4.16,2.34,32,32.0,1218.58,3600,2,90920,0,0,False
run10,NE,county,hess,True,none,default,False,B_decreasing,True,True,3,605737,611824,93,231,19,278.07,10000,3,86,2.53,60,4278,703,2,n/a,0,3.19,4.80,19,19.0,103.64,3600,2,661,0,0,True
run11,IA,county,hess,True,none,default,False,B_decreasing,True,True,4,757781,765396,99,222,33,560.04,10000,4,85,60.06,60,4851,780,0,n/a,0,3.58,3.98,33,33.0,2092.95,3600,2,81034,0,0,True
run12,KS,county,hess,True,none,default,False,B_decreasing,True,True,4,709714,716845,105,263,32,1281.95,10000,4,95,13.81,60,5460,1540,2,n/a,0,4.76,3.49,31,31.0,521.03,3600,2,34992,0,0,False
run13,NH,tract,hess,True,none,default,False,B_decreasing,True,True,2,654944,661526,295,786,27,1380.69,10000,2,283,7.55,60,43365,11325,0,n/a,0,TL,3600.20,27,5.0,3600.22,3600,9,1,0,0,True
run14,ID,tract,hess,True,none,default,False,B_decreasing,True,True,2,779873,787709,298,792,17,2836.42,10000,2,291,2.53,60,44253,10296,0,n/a,0,?,3600.22,17,3.0,3600.17,3600,9,1,0,0,True
run15,ME,tract,hess,True,none,default,False,B_decreasing,True,True,2,660860,667501,358,999,20,2453.25,10000,2,349,3.46,60,63903,14535,0,n/a,0,?,3600.26,20,0.0,3600.17,3600,9,0,0,0,True
run16,WV,tract,hess,True,none,default,False,B_decreasing,True,True,3,614577,620752,484,1266,47,2285.95,10000,3,467,60.09,60,116886,9870,0,n/a,0,?,3600.35,47,0.0,3600.41,3600,9,0,0,0,True
